run1,,Baseline 100%T,,GaAs,,
eV,Abs,eV,%T,eV,%T,
0.3879471123,-0.007387567312,0.3879471123,101.989624,0.3879471123,48.57179642,
0.3881281316,-0.005774700548,0.3881281316,101.0548553,0.3881281316,49.26348114,
0.3883091509,-0.01249679178,0.3883091509,103.4612045,0.3883091509,48.55289078,
0.3884901404,-0.01021594089,0.3884901404,101.8742828,0.3884901404,48.56298447,
0.3886711597,-0.007581702434,0.3886711597,102.5721588,0.3886711597,48.97281265,
0.3888521791,-0.008713844232,0.3888521791,102.8096466,0.3888521791,48.22560501,
0.3890332282,-0.01031949278,0.3890332282,102.1166229,0.3890332282,49.2521553,
0.3892142177,-0.01054921001,0.3892142177,101.5924225,0.3892142177,48.90642929,
0.389395237,-0.01081264112,0.389395237,102.5248642,0.389395237,49.60632706,
0.3895762563,-0.01080885436,0.3895762563,103.6322937,0.3895762563,48.55121994,
0.3897572756,-0.01011701766,0.3897572756,102.1818848,0.3897572756,48.67492294,
0.3899382651,-0.0119708525,0.3899382651,101.9150009,0.3899382651,49.39922714,
0.3901192844,-0.008623561822,0.3901192844,102.858696,0.3901192844,48.83288956,
0.3903003335,-0.006765241269,0.3903003335,102.5540085,0.3903003335,49.40258408,
0.3904813528,-0.009246425703,0.3904813528,102.0872345,0.3904813528,49.07411957,
0.3906623423,-0.0106327273,0.3906623423,102.7966385,0.3906623423,48.61479568,
0.3908433616,-0.01055325195,0.3908433616,101.9627075,0.3908433616,48.85440445,
0.3910243809,-0.008744440973,0.3910243809,103.4849777,0.3910243809,49.4333992,
0.3912054002,-0.01013841294,0.3912054002,102.2654266,0.3912054002,49.13432693,
0.3913864493,-0.01010771096,0.3913864493,103.6142197,0.3913864493,48.0960083,
0.3915674388,-0.01115211379,0.3915674388,102.7595901,0.3915674388,48.51984406,
0.3917484581,-0.009848760441,0.3917484581,102.4915466,0.3917484581,49.22176743,
0.3919294775,-0.007753679994,0.3919294775,101.9185638,0.3919294775,49.27064896,
0.3921104968,-0.008983613923,0.3921104968,102.6874161,0.3921104968,48.82196426,
0.3922914863,-0.01036519278,0.3922914863,102.2905579,0.3922914863,49.54695892,
0.3924725354,-0.0140859345,0.3924725354,103.2592621,0.3924725354,48.32200241,
0.3926535547,-0.01133509167,0.3926535547,103.172554,0.3926535547,48.1074295,
0.392834574,-0.01255835872,0.392834574,102.1902237,0.392834574,49.13157654,
0.3930155635,-0.008740280755,0.3930155635,101.7422943,0.3930155635,49.5149498,
0.3931965828,-0.01239964552,0.3931965828,102.257431,0.3931965828,48.77869415,
0.3933776021,-0.01120685879,0.3933776021,102.2174225,0.3933776021,48.5658226,
0.3935586512,-0.01312086079,0.3935586512,102.5578766,0.3935586512,48.44664383,
0.3937396407,-0.009774052538,0.3937396407,102.2909164,0.3937396407,49.37950516,
0.39392066,-0.0104294382,0.39392066,103.1443939,0.39392066,48.02539444,
0.3941016793,-0.009993028827,0.3941016793,102.8151627,0.3941016793,48.60046387,
0.3942826986,-0.01140297577,0.3942826986,104.0062866,0.3942826986,47.99239349,
0.3944636881,-0.01172561012,0.3944636881,103.3566132,0.3944636881,48.2632637,
0.3946447074,-0.01806708239,0.3946447074,102.9975052,0.3946447074,49.17055511,
0.3948257565,-0.01707085595,0.3948257565,102.8332214,0.3948257565,48.40203094,
0.3950067759,-0.01464671176,0.3950067759,102.6674118,0.3950067759,48.4157753,
0.3951877654,-0.0138510596,0.3951877654,104.1021347,0.3951877654,47.33039856,
0.3953687847,-0.01280775666,0.3953687847,102.6139374,0.3953687847,49.21269226,
0.395549804,-0.01284726523,0.395549804,102.6797562,0.395549804,48.29610443,
0.3957308233,-0.01353843231,0.3957308233,102.8581161,0.3957308233,48.66841507,
0.3959118724,-0.00906631723,0.3959118724,103.1238937,0.3959118724,47.68384552,
0.3960928619,-0.01235244703,0.3960928619,103.3110352,0.3960928619,48.30773163,
0.3962738812,-0.01431847736,0.3962738812,102.1017761,0.3962738812,48.67260742,
0.3964549005,-0.01260498073,0.3964549005,103.1822586,0.3964549005,48.51152802,
0.3966359198,-0.009735326283,0.3966359198,102.8747101,0.3966359198,48.46773911,
0.3968169093,-0.0119939195,0.3968169093,103.2172546,0.3968169093,48.78178406,
0.3969979584,-0.01451710053,0.3969979584,102.9476547,0.3969979584,48.53791428,
0.3971789777,-0.01298441086,0.3971789777,103.2387009,0.3971789777,48.5549736,
0.397359997,-0.01111260243,0.397359997,103.3323059,0.397359997,48.77457047,
0.3975409865,-0.01299697254,0.3975409865,103.1600494,0.3975409865,48.12453842,
0.3977220058,-0.01103240717,0.3977220058,102.7666092,0.3977220058,48.88222504,
0.3979030252,-0.009598467499,0.3979030252,103.3124924,0.3979030252,48.34179306,
0.3980840743,-0.01196465828,0.3980840743,102.9449005,0.3980840743,48.96331024,
0.3982650638,-0.01127092913,0.3982650638,102.6714554,0.3982650638,48.6375885,
0.3984460831,-0.01276593283,0.3984460831,102.6195984,0.3984460831,48.8810463,
0.3986271024,-0.01225003414,0.3986271024,103.1141968,0.3986271024,48.32203674,
0.3988081217,-0.014896865,0.3988081217,102.6925659,0.3988081217,48.38022995,
0.3989891112,-0.01390797272,0.3989891112,103.0140152,0.3989891112,48.67645645,
0.3991701305,-0.01176279783,0.3991701305,102.9761429,0.3991701305,48.09840775,
0.3993511796,-0.01143898163,0.3993511796,103.2556534,0.3993511796,48.12553787,
0.3995321989,-0.01277397573,0.3995321989,102.4345627,0.3995321989,48.70920944,
0.3997131884,-0.01033036225,0.3997131884,102.9319382,0.3997131884,48.47585678,
0.3998942077,-0.01317189261,0.3998942077,103.4970016,0.3998942077,47.95426559,
0.400075227,-0.01057614107,0.400075227,103.25811,0.400075227,48.17106247,
0.4002562463,-0.01231641695,0.4002562463,102.8008728,0.4002562463,48.25159454,
0.4004372954,-0.01365057658,0.4004372954,103.4179077,0.4004372954,47.98506546,
0.4006182849,-0.01190285571,0.4006182849,103.210083,0.4006182849,48.22914124,
0.4007993042,-0.01087520458,0.4007993042,103.3404922,0.4007993042,48.42925262,
0.4009803236,-0.01312146336,0.4009803236,103.192482,0.4009803236,48.45262909,
0.4011613429,-0.01342535578,0.4011613429,102.789032,0.4011613429,48.61793518,
0.4013423324,-0.01228888799,0.4013423324,103.5460968,0.4013423324,48.13347244,
0.4015233815,-0.01069824677,0.4015233815,102.8828125,0.4015233815,48.80576706,
0.4017044008,-0.01240709145,0.4017044008,103.2485046,0.4017044008,48.74698639,
0.4018854201,-0.01291179843,0.4018854201,103.7455902,0.4018854201,48.59609604,
0.4020664096,-0.01588815264,0.4020664096,103.3422012,0.4020664096,48.93484879,
0.4022474289,-0.01462178398,0.4022474289,103.2813873,0.4022474289,49.26314163,
0.4024284482,-0.01363397017,0.4024284482,103.4987488,0.4024284482,48.7635498,
