#Date: 2024-04-24 13:26:51
#Source: zoom_edge_resolution student 08


#Data:
nm,%T
24925,8888888889,34,2928149410883
24920,3333333334,34,1020019250441
24914,7777777778,33,9098884114488
24909,2222222223,33,7165744238218
24903,6666666667,33,5221602558072
24898,1111111111,33,3267464717302
24892,5555555556,33,1304339072511
24887,32,9333236699243
24881,4444444445,32,7355171398412
24875,8888888889,32,537115970248
24870,3333333334,32,3382220881003
24864,7777777778,32,1389376947461
24859,2222222223,31,9393652664909
24853,6666666667,31,7396075552414
24848,1111111111,31,5397675891076
24842,5555555556,31,3399486730078
24837,31,1402543893366
24831,4444444445,30,9407885985305
24825,8888888889,30,7416554397104
24820,3333333334,30,5429593313273
24814,7777777778,30,3448049717516
24809,2222222223,30,1472973399285
24803,6666666667,29,9505416959911
24798,1111111111,29,7546435818836
24792,5555555556,29,5597088220054
24787,29,3658435238504
24781,4444444445,29,1731540786132
24775,8888888889,28,9817471618513
24770,3333333334,28,7917297340944
24764,7777777778,28,6032090415162
24759,2222222223,28,4162926165465
24753,6666666667,28,2310882785191
24748,1111111111,28,04770413432
24742,5555555556,27,8662485790186
24737,27,6868302965315
24731,4444444445,27,509558260244
24725,8888888889,27,334541733689
24720,3333333334,27,1618902711718
24714,7777777778,26,9917137184148
24709,2222222223,26,823942569393
24703,6666666667,26,6566340470856
24698,1111111111,26,4893199545343
24692,5555555556,26,322114141654
24687,26,1551307658528
24681,4444444445,25,9884842927011
24675,8888888889,25,8222894966488
24670,3333333334,25,6566614617033
24664,7777777778,25,4917155821264
24659,2222222223,25,3275675631614
24653,6666666667,25,1643334216822
24648,1111111111,25,0021294869513
24642,5555555556,24,8410724012726
24637,24,6812791207299
24631,4444444445,24,5228669158876
24625,8888888889,24,3659533724875
24620,3333333334,24,210656392159
24614,7777777778,24,0570941931407
24609,2222222223,23,9053853109935
24603,6666666667,23,7556485993041
24598,1111111111,23,6080032304065
24592,5555555556,23,4625686960998
24587,23,3194648083672
24581,4444444445,23,1788117001021
24575,8888888889,23,0407298258156
24570,3333333334,22,9053399623806
24564,7777777778,22,7727632097423
24559,2222222223,22,643120991647
24553,6666666667,22,5165350563836
24548,1111111111,22,3931274775016
24542,5555555556,22,2730206545432
24537,22,1563373137863
24531,4444444445,22,0432005089753
24525,8888888889,21,9337336220585
24520,3333333334,21,8280603639202
24514,7777777778,21,7263047751391
24509,2222222223,21,6285912267096
24503,6666666667,21,5350444207997
24498,1111111111,21,4458295004322
24492,5555555556,21,3614858904563
24487,21,2820154279948
24481,4444444445,21,2072468686984
24475,8888888889,21,1370084926292
24470,3333333334,21,071128103153
24464,7777777778,21,0094330258691
24459,2222222223,20,9517501075021
24453,6666666667,20,8979057148151
24448,1111111111,20,8477257335125
24442,5555555556,20,8010355671405
24437,20,7576601359854
