#Date: 2024-04-24 17:07:26
#Source: zoom_edge_resolution student 22


#Data:
nm,%T
12550,46,2918580802665
12500,46,3708358951476
12450,46,4155306820044
12400,46,4124186247635
12350,46,3991026549903
12300,46,4660903673001
12250,46,459013942855
12200,46,491636510128
12150,46,4906367582464
12100,46,483225486549
12050,46,3878453896345
12000,46,423689849857
11950,46,4300397495899
11900,46,4198446249302
11850,46,419913007257
11800,46,435775601137
11750,46,4150335003974
11700,46,3888702230032
11650,46,4181347943432
11600,46,4192407042637
11550,46,3854703600212
11500,46,3961358545034
11450,46,3923512302514
11400,46,3582679718586
11350,46,3311508646936
11300,46,3290319980795
11250,46,3466024992035
11200,46,3676318086111
11150,46,3782367287998
11100,46,3568436383283
11050,46,3646191029601
11000,46,3270661677046
10950,46,3248501290162
10900,46,3464852605572
10850,46,3534605824551
10800,46,3594592662699
10750,46,3569052451932
10700,46,349060008275
10650,46,3654559067755
10600,46,3677563478815
10550,46,3148998927765
10500,46,3179374546999
10450,46,3202411156771
10400,46,2736997778224
10350,46,3151345836238
10300,46,297115933246
10250,46,3149886504706
10200,46,2878321651441
10150,46,2452304180577
10100,46,3070647216136
10050,46,2954090479323
10000,46,239551725592
